SIGNAL "Character:Trigger" (#00FFFF, 0.50, 1):
185.64, 10.31, -85.94: 239.34, 1
185.95, 12.17, -89.05: 246.76, 1
187.17, 9.49, -105.39: 271.22, 1
187.73, 6.12, -111.90: 283.16, 1
186.48, 6.85, -96.49: 291.60, 1
186.54, 8.05, -96.48: 294.56, 1
199.05, 3.00, -101.62: 299.52, 1
207.37, 2.58, -102.69: 300.94, 2
187.53, 1.96, -109.54: 335.16, 1
187.08, 1.96, -103.64: 337.46, 2
185.22, 2.58, -81.34: 353.62, 3
185.43, 1.96, -82.15: 356.20, 1
185.09, 8.83, -78.53: 371.54, 1
185.18, 12.39, -80.20: 375.30, 1
164.66, 6.71, -102.74: 403.46, 2
164.70, 5.75, -101.84: 407.28, 1
168.04, 11.43, -92.87: 428.38, 1
159.89, 11.21, -80.07: 473.14, 1
165.68, -6.25, -62.72: 580.43, 2
166.79, -0.47, -65.93: 582.86, 1
139.12, 2.47, -80.13: 592.94, 2
135.30, -2.37, -78.95: 596.36, 1
111.76, 1.98, -81.22: 627.66, 1
102.88, 2.05, -81.05: 632.30, 1
101.77, 2.27, -81.54: 635.37, 1
48.77, 0.96, -108.35: 673.22, 1
47.03, 1.03, -109.83: 673.85, 1
40.14, 0.93, -111.37: 677.58, 1
29.14, 7.76, -108.90: 682.47, 1
38.17, 7.62, -105.49: 689.06, 1
22.98, -11.42, -102.57: 697.60, 1
-1.17, -15.29, -118.33: 720.68, 2
-2.19, -15.10, -118.61: 722.94, 1
-6.43, -14.79, -118.85: 725.86, 1
-12.06, -15.07, -122.36: 726.90, 1
-14.32, -14.78, -124.85: 728.04, 1
-17.05, -15.06, -130.24: 729.10, 1
-18.24, -14.76, -133.61: 731.42, 1
-18.38, -14.97, -139.62: 732.66, 5
-17.10, -14.80, -143.65: 741.98, 1
-11.16, -14.81, -151.80: 744.22, 1
-2.19, -14.83, -155.64: 747.52, 1
4.14, -15.09, -155.57: 748.60, 2
8.32, -14.77, -154.40: 750.06, 2
12.94, -14.76, -151.96: 763.92, 1
-6.75, -14.86, -154.85: 769.58, 1
-16.76, -10.33, -128.44: 775.90, 1
-6.86, -12.10, -99.40: 780.68, 1
-4.19, -3.73, -74.54: 785.20, 1
-2.11, -14.39, -73.17: 786.80, 1
-5.07, -10.68, -81.55: 796.58, 1
-21.17, 3.78, -61.57: 801.64, 1
17.92, -12.43, -75.30: 830.70, 1

SIGNAL "Character:Jump" (#FFFF00, 0.50, 1):
262.55, 2.82, -100.97: 65.63, 4
262.12, 3.67, -100.51: 65.83, 1
228.54, 1.82, -89.90: 72.90, 5
227.97, 2.65, -90.37: 73.08, 1
261.23, 1.82, -93.14: 99.92, 6
261.99, 2.71, -92.98: 100.10, 1
255.32, 1.82, -91.96: 106.65, 4
254.62, 2.54, -91.30: 106.78, 4
237.75, 0.11, -73.03: 118.27, 3
236.84, 0.94, -72.72: 118.41, 4
236.08, 1.67, -72.80: 118.57, 18
239.01, 0.07, -71.95: 120.33, 6
238.89, 0.98, -71.17: 120.51, 6
238.62, 1.57, -70.38: 120.68, 15
239.06, 1.86, -69.49: 121.12, 29
239.26, 0.12, -70.02: 122.39, 7
239.17, -0.15, -77.61: 125.60, 6
238.44, 0.61, -77.55: 127.97, 6
238.77, 1.66, -77.76: 128.16, 1
243.87, -0.38, -75.31: 167.63, 10
243.50, 0.40, -74.53: 167.81, 27
243.11, 1.30, -74.34: 169.80, 10
242.17, 1.12, -73.94: 174.60, 17
239.75, -0.07, -74.29: 178.56, 7
240.28, 0.84, -74.30: 178.76, 10
241.04, 1.52, -74.17: 179.03, 2
242.61, -0.23, -73.68: 180.43, 6
242.59, 1.09, -73.02: 180.73, 9
240.47, 1.55, -72.41: 183.20, 3
239.81, 2.29, -72.10: 183.35, 4
238.91, 2.87, -71.71: 183.53, 3
233.18, 3.59, -70.79: 184.60, 3
232.49, 4.34, -71.23: 184.74, 3
